Mouse ID,A0634,,,,,,,,,
Nickname,Steven,,,,,,,,,
Date implanted,10/Nov/2020,,,,,,,,,
Structure,PSB,,,,,,,,,
,,,,,,,,,,
Recording day,Days from previous recording,Type of recording (Expl/Slp),Rigid Body,Rig,Processed? (Y/N),# of Cells,Issues/Comments,,,Path
#2020/11/20,N/A,Exploration,1,Circular,Y,,,,,
#2020/11/22,2,Exploration,1,Circular,Y,,gap in ttl,,,
#2020/11/24,2,Exploration,1,Circular,Y,,,,,
#2020/11/26,2,Exploration,1,Circular,Y,,,,,
#2020/11/30,4,Exploration,1,Circular,Y,,,,,
#2020/12/02,2,Exploration,1,Circular,Y,,,,,
#2020/12/04,2,Exploration,1,Circular,Y,,,,,
#2020/12/07,3,Exploration,1,Circular,Y,,,,,
#2020/12/09,2,Exploration,1,Circular,Y,,bad intan,,,
#2020/12/11,2,Exploration,1,Circular,Y,,,,,
#2020/12/14,3,Exploration,1,Circular,Y,,,,,
#2020/12/17,3,Exploration,1,Circular,Y,,,,,
#2020/12/19,2,Exploration,1,Circular,Y,,,,,
#2021/01/11,23,Exploration,1,Circular,Y,,,,,
#2021/01/14,3,Exploration,1,Circular,Y,,,,,
#2021/01/15,1,Exploration,1,Circular,Y,,,,,
#2021/01/18,3,Exploration,2,Circular,Y,142,,,,
#2021/01/19,1,Exploration,2,Circular,Y,136,,,,
#2021/01/20,1,Exploration,2,Circular,Y,143,,,,
#2021/01/21,1,Exploration,2,Circular,Y,126,,,,
#2021/01/22,1,Exploration,2,Circular,Y,131,,,,
#2021/01/23,1,Exploration,2,Circular,Y,140,,,,
#2021/01/24,1,Exploration,2,Circular,Y,136,,,,
#2021/01/25,1,Exploration,2,Circular,Y,127,,,,
#2021/01/26,1,Exploration,2,Circular,Y,127,,,,
#2021/01/27,1,Exploration,2,Circular,Y,131,,,,
#2021/01/28,1,Exploration,2,Circular,Y,130,,,,
#2021/01/29,1,Exploration,2,Circular,Y,143,,,,
#2021/01/30,1,Exploration,2,Circular,Y,115,,,,
#2021/01/31,1,Exploration,2,Circular,N,,Crashed,,,
#2021/02/01,1,Exploration,2,Circular,N,,Crashed,,,
#2021/02/02,1,Exploration,2,Circular,N,,Crashed,,,
#2021/02/03,1,Exploration,2,Circular,N,,Crashed,,,
#2021/02/04,1,Exploration,2,Square,Y,130,,,,
#2021/02/05,1,Exploration,2,Square,Y,128,No tracking file,,,
#2021/02/06,1,Exploration,2,Square,Y,120,,,,
#2021/02/07,1,Exploration,2,Square,Y,129,,,,
#2021/02/08,1,Exploration,2,Square,N,,Crashed No tracking file		,,,
#2021/02/09,1,Exploration,2,Open field,Y,120,No tracking file,,,
#2021/02/10,1,Exploration,2,Open field,Y,130,TTL problem,,,
#2021/02/11,2,Exploration,2,Open field,Y,123,TTL problem,,,
#2021/02/12,1,Exploration,2,Open field,Y,126,TTL Problem,,,
#2021/02/14,2,Exploration,3,Circular,Y,129,,,,
#2021/02/15,1,Exploration,3,Circular,Y,128,,,,
#2021/02/16,1,Exploration,3,Circular,Y,110,,,,
#2021/02/17,1,Exploration,3,Open field,Y,130,TTL Problem,,,
#2021/02/18,1,Exploration,3,Open field,Y,126,TTL Problem,,,
#2021/02/22,4,Exploration,3,Open field,N,,TTL Problem,,,
#2021/02/23,1,Exploration,3,Open field,N,,TTL Problem,,,
#2021/02/24,1,Exploration,3,Open field,Y,116,TTL Problem,,,
#2021/02/25,1,Exploration,3,Open field,N,,TTL Problem,,,
#2021/02/26,1,Exploration,3,Circular,Y,100,,,,
#2021/02/27,1,Exploration,3,Circular,Y,125,,,,
#2021/02/28,1,Exploration,3,Circular,Y,115,,,,
#2021/03/02,2,Sleep,3,Sleep,Y,110,,,,
#2021/03/03,1,Exploration,3,Circular,N,,,,,
#2021/03/04,1,Exploration,3,Circular,N,,,,,
#2021/03/08,4,Exploration,3,8-arm maze,N,,,,,
#2021/03/09,1,Exploration,3,8-arm maze,N,,,,,
#2021/03/10,1,Exploration,3,8-arm maze,N,,,,,
#2021/03/11,1,Exploration,3,8-arm maze,N,,,,,
#2021/03/12,1,Exploration,3,8-arm maze,N,,,,,
#2021/03/19,7,Exploration,3,8-arm maze,N,,,,,
#2021/03/26,14,Exploration,3,Circular,N,,,,,
#2021/04/09,14,Exploration,3,Circular,N,,,,,
#2021/04/16,7,Exploration,4,Circular,N,,,,,
2021/04/19,3,Exploration,4,Circular,N,,,,,
2021/04/26,7,Exploration,4,Circular,N,,,,,
2021/05/03,7,Exploration,4,Circular,N,,,,,
2021/05/10,7,Exploration,4,Circular,N,,,,,
2021/05/17,7,Exploration,4,Circular,N,,,,,
2021/05/24,7,Exploration,4,Circular,N,,crashed,,,
2021/05/31,7,Exploration,4,Square,N,,crashed,,,
2021/06/01,1,Exploration,4,Square,N,,,,,
2021/06/02,1,Exploration,4,Square,N,,,,,
2021/06/03,1,Exploration,4,Square,N,,,,,
2021/06/04,1,Exploration,4,Square,N,,,,,
2021/06/08,4,Exploration,4,Square,N,,,,,
2021/06/09,1,Exploration,4,Square,N,,,,,
2021/06/15,6,Exploration,4,8-arm maze,N,,,,,
2021/06/16,1,Exploration,4,8-arm maze,N,,,,,
2021/06/17,1,Exploration,4,8-arm maze,N,,,,,
2021/06/18,1,Exploration,4,8-arm maze,N,,,,,
2021/06/21,3,Exploration,4,8-arm maze,N,,,,,
2021/06/22,1,Exploration,4,8-arm maze,N,,,,,
2021/06/23,1,Exploration,4,8-arm maze,N,,,,,
2021/06/24,1,Exploration,4,8-arm maze,N,,,,,
2021/06/25,1,Exploration,4,8-arm maze,N,,,,,
2021/06/29,4,Exploration,4,Open field,N,,,,,
2021/06/30,1,Exploration,4,Open field,N,,,,,
2021/07/01,1,Exploration,4,Open field,N,,,,,
2021/07/02,1,Exploration,4,Open field,N,,,,,
2021/07/05,3,Exploration,4,Open field,N,,,,,
2021/07/06,1,Exploration,4,Open field,N,,,,,
2021/07/07,1,Exploration,4,Open field,N,,,,,
2021/07/08,1,Exploration,4,Open field,N,,,,,
2021/07/09,1,Exploration,4,Open field,N,,,,,
,#NUM!,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
