Mouse ID,A0642,,,,,,,,,
Nickname,Dracula,,,,,,,,,
Date implanted,22/Feb/2021,,,,,,,,,
Structure,PSB,,,,,,,,,
,,,,,,,,,,
Recording day,Days from previous recording,Type of recording (Expl/Slp),Rigid Body,Rig,Processed? (Y/N),# of Cells,Issues/Comments,,,Path
##2021/03/19,N/A,Exploration,1,Circular,Y,100,,,,
##2021/03/23,4,Exploration,1,Circular,Y,75,,,,
##2021/03/26,3,Exploration,1,Circular,N,,Crashed,,,
##2021/04/12,17,Exploration,1,Circular,N,,Crashed,,,
##2021/04/13,1,Exploration,1,Circular,Y,122,,,,
##2021/04/14,1,Exploration,2,Circular,Y,80,,,,
##2021/04/15,1,Exploration,2,Circular,N,,EWL = 15,,,
##2021/04/16,1,Exploration,2,Circular,N,,,,,
##2021/04/17,1,Exploration,2,Circular,N,,,,,
##2021/04/18,1,Exploration,2,Circular,N,,,,,
##2021/04/19,1,Exploration,2,Circular,Y,20,,,,
##2021/04/20,1,Exploration,2,Circular,Y,51,,,,
##2021/04/21,1,Exploration,2,Circular,Y,51,,,,
##2021/04/22,1,Exploration,2,Circular,Y,48,,,,
##2021/04/23,1,Exploration,2,Circular,N,,,,,
##2021/04/26,3,Exploration,2,Circular,Y,49,,,,
##2021/04/27,1,Exploration,2,Circular,Y,42,,,,
##2021/04/28,1,Exploration,2,Circular,Y,59,,,,
##2021/04/29,1,Exploration,2,Circular,Y,29,,,,
##2021/04/30,1,Exploration,2,Circular,Y,27,,,,
#2021/05/03,3,Exploration,2,Circular,Y,53,,,,
#2021/05/04,1,Exploration,2,Circular,Y,70,,,,
#2021/05/05,1,Exploration,2,Circular,Y,,,,,
#2021/05/06,1,Exploration,2,Circular,Y,,,,,
#2021/05/07,1,Exploration,2,Circular,N,,,,,
#2021/05/10,3,Exploration,2,Circular,N,,,,,
#2021/05/11,1,Exploration,2,Circular,N,,,,,
#2021/05/12,1,Exploration,2,Circular,N,,,,,
#2021/05/13,1,Exploration,2,Circular,N,,,,,
#2021/05/14,1,Exploration,2,Circular,N,,,,,
2021/05/17,3,Exploration,2,Circular,N,,,,,
2021/05/18,1,Exploration,2,Circular,N,,,,,
2021/05/19,1,Exploration,2,Circular,N,,,,,
2021/05/20,1,Exploration,2,Circular,N,,,,,
2021/05/21,1,Exploration,2,Circular,N,,,,,
2021/05/24,3,Exploration,2,Circular,N,,,,,
2021/05/25,1,Exploration,2,Circular,N,,,,,
2021/05/26,1,Exploration,2,Circular,N,,,,,
2021/05/27,1,Exploration,2,Circular,N,,,,,
2021/05/28,1,Exploration,2,Circular,N,,,,,
2021/05/31,3,Exploration,2,Square,N,,,,,
2021/06/01,1,Exploration,2,Square,N,,,,,
2021/06/02,1,Exploration,2,Square,N,,,,,
2021/06/03,1,Exploration,2,Square,N,,,,,
2021/06/04,1,Exploration,2,Square,N,,,,,
2021/06/08,4,Exploration,2,Square,N,,,,,
2021/06/09,1,Exploration,2,Square,N,,,,,
2021/06/15,6,Exploration,3,8-arm maze,N,,,,,
2021/06/16,1,Exploration,3,8-arm maze,N,,,,,
2021/06/17,1,Exploration,3,8-arm maze,N,,,,,
2021/06/18,1,Exploration,3,8-arm maze,N,,,,,
2021/06/21,4,Exploration,3,8-arm maze,N,,,,,
2021/06/22,1,Exploration,3,8-arm maze,N,,,,,
2021/06/23,1,Exploration,3,8-arm maze,N,,,,,
2021/06/24,1,Exploration,3,8-arm maze,N,,,,,
2021/06/25,1,Exploration,3,8-arm maze,N,,,,,
2021/06/29,4,Exploration,4,Open field,N,,,,,
2021/06/30,1,Exploration,4,Open field,N,,,,,
2021/07/01,1,Exploration,4,Open field,N,,,,,
#2021/07/02,1,Exploration,4,Open field,N,,,,,
2021/07/05,4,Exploration,3,Open field,N,,,,,
2021/07/06,4,Exploration,3,Open field,N,,,,,
2021/07/07,1,Exploration,3,Open field,N,,,,,
2021/07/08,1,Exploration,3,Open field,N,,,,,
2021/07/09,1,Exploration,3,Open field,N,,,,,
