Mouse ID,A0643,,,,,,,,,
Nickname,Bob,,,,,,,,,
Date implanted,23/Feb/2021,,,,,,,,,
Structure,PSB,,,,,,,,,
,,,,,,,,,,
Recording day,Days from previous recording,Type of recording (Expl/Slp),Rigid Body,Rig,Processed? (Y/N),# of Cells,Issues/Comments,,,Path
#####2021/04/01,N/A,Exploration,1,Circular,Y,33,,,,
#####2021/04/08,7,Exploration,1,Circular,Y,41,,,,
#####2021/04/12,4,Exploration,1,Circular,Y,39,,,,
#####2021/04/13,1,Exploration,1,Circular,Y,39,,,,
#2021/04/14,1,Exploration,2,Circular,N,,crashed?,,,
#2021/04/15,1,Exploration,2,Circular,Y,25,,,,
#2021/04/16,1,Exploration,2,Circular,N,,,,,
#2021/04/17,1,Exploration,2,Circular,N,,,,,
#2021/04/18,1,Exploration,2,Circular,N,,,,,
#2021/04/19,1,Exploration,2,Circular,N,,,,,
#2021/04/20,1,Exploration,2,Circular,N,,,,,
#2021/04/21,1,Exploration,2,Circular,N,,,,,
#2021/04/22,1,Exploration,2,Circular,Y,,ewl = 30,,,
#2021/04/23,1,Exploration,2,Circular,N,,ewl = 30,,,
#2021/04/26,3,Exploration,2,Circular,Y,,ewl = 30,,,
#2021/04/27,1,Exploration,2,Circular,N,,ewl = 30,,,
#2021/04/28,1,Exploration,2,Circular,N,,ewl = 30,,,
#2021/04/29,1,Exploration,2,Circular,Y,,ewl = 30,,,
#2021/04/30,1,Exploration,2,Circular,Y,,ewl = 30,,,
#2021/05/03,3,Exploration,2,Circular,Y,,Crashed,,,
#2021/05/04,1,Exploration,2,Circular,N,,,,,
#2021/05/05,1,Exploration,2,Circular,N,,,,,
#2021/05/06,1,Exploration,2,Circular,N,13,,,,
#2021/07/12,67,Exploration,2,Circular,N,,,,,
#2021/08/23,42,Exploration,3,Circular,N,,,,,
2021/08/24,1,Exploration,3,Circular,N,,,,,
2021/08/25,1,Exploration,3,Circular,N,,,,,
2021/08/26,1,Exploration,3,Circular,N,,,,,
2021/08/27,1,Exploration,3,Circular,N,,,,,
2021/08/30,3,Exploration,4,Square,N,,,,,
2021/08/31,1,Exploration,4,Square,N,,,,,
2021/09/01,1,Exploration,4,Square,N,,,,,
2021/09/02,1,Exploration,4,Square,N,,,,,
2021/09/03,1,Exploration,4,Square,N,,,,,
2021/09/06,3,Exploration,5,Open field,N,,,,,
2021/09/07,1,Exploration,5,Open field,N,,,,,
2021/09/08,1,Exploration,5,Open field,N,,,,,
2021/09/09,1,Exploration,5,Open field,N,,,,,
2021/09/10,1,Exploration,5,Open field,N,,,,,
2021/09/13,3,Exploration,6,8-arm maze,N,,,,,
2021/09/14,1,Exploration,6,8-arm maze,N,,,,,
2021/09/15,1,Exploration,6,8-arm maze,N,,,,,
2021/09/16,1,Exploration,6,8-arm maze,N,,,,,
2021/09/17,1,Exploration,6,8-arm maze,N,,,,,
2021/09/20,3,Exploration,3,Circular,N,,,,,
2021/09/21,1,Exploration,3,Circular,N,,,,,
2021/09/22,1,Exploration,3,Circular,N,,,,,
2021/09/23,1,Exploration,3,Circular,N,,,,,
2021/09/24,1,Exploration,3,Circular,N,,,,,
2021/09/28,4,Exploration,3,Circular,N,,,,,
2021/09/29,1,Exploration,4,Square,N,,,,,
2021/09/30,1,Exploration,6,8-arm maze,N,,,,,
2021/10/01,1,Exploration,5,Open field,N,,,,,
,#NUM!,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
