Mouse ID,A6510,,,,,,,,,
Nickname,TBD,,,,,,,,,
Date implanted,20/Apr/2021,,,,,,,,,
Structure,RSC,,,,,,,,,
,,,,,,,,,,
Recording day,Days from previous recording,Type of recording (Expl/Slp),Rigid Body,Rig,Processed? (Y/N),# of Cells,Issues/Comments,,,Path
2021/05/05,N/A,Exploration,0,Circular,Y,187,,,,
2021/05/06,1,Exploration,0,Circular,Y,170,,,,
2021/05/07,1,Exploration,0,Circular,Y,272,,,,
2021/05/10,3,Exploration,0,Circular,Y,272,,,,
2021/05/11,1,Exploration,0,Circular,N,,Bad recording,,,
2021/05/12,1,Exploration,0,Circular,N,,,,,
2021/05/13,1,Exploration,0,Circular,N,,,,,
2021/05/14,1,Exploration,0,Circular,N,,,,,
2021/05/17,3,Exploration,0,Circular,N,,,,,
2021/05/18,1,Exploration,0,Circular,N,,,,,
2021/05/19,1,Exploration,0,Circular,N,,,,,
2021/05/20,1,Exploration,0,Circular,N,,,,,
2021/05/21,1,Exploration,0,Circular,N,,,,,
2021/05/24,3,Exploration,0,Circular,N,,,,,
2021/05/25,1,Exploration,0,Circular,N,,,,,
2021/05/26,1,Exploration,0,Circular,N,,,,,
2021/05/27,1,Exploration,0,Circular,N,,,,,
2021/05/28,1,Exploration,0,Circular,N,,,,,
2021/05/31,3,Exploration,1,Square,N,,,,,
2021/06/01,1,Exploration,1,Square,N,,,,,
2021/06/02,1,Exploration,1,Square,N,,,,,
2021/06/03,1,Exploration,1,Square,N,,,,,
2021/06/04,1,Exploration,1,Square,N,,,,,
2021/06/08,4,Exploration,1,Square,N,,,,,
2021/06/09,1,Exploration,1,Square,N,,,,,
2021/06/15,6,Exploration,2,8-arm maze,N,,,,,
2021/06/16,1,Exploration,2,8-arm maze,N,,,,,
2021/06/17,1,Exploration,2,8-arm maze,N,,,,,
2021/06/18,1,Exploration,2,8-arm maze,N,,,,,
2021/06/21,4,Exploration,2,8-arm maze,N,,,,,
2021/06/22,1,Exploration,2,8-arm maze,N,,,,,
2021/06/23,1,Exploration,2,8-arm maze,N,,,,,
2021/06/24,1,Exploration,2,8-arm maze,N,,,,,
2021/06/25,1,Exploration,2,8-arm maze,N,,,,,
2021/06/29,4,Exploration,3,Open field,N,,,,,
2021/06/30,1,Exploration,3,Open field,N,,,,,
2021/07/01,1,Exploration,3,Open field,N,,,,,
2021/07/02,1,Exploration,3,Open field,N,,,,,
,,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
