Mouse ID,A6512,,,,,,,,,
Nickname,TBD,,,,,,,,,
Date implanted,07/May/2021,,,,,,,,,
Structure,RSC (prism),,,,,,,,,
,,,,,,,,,,
Recording day,Days from previous recording,Type of recording (Expl/Slp),Rigid Body,Rig,Processed? (Y/N),# of Cells,Issues/Comments,,,Path
2021/07/12,N/A,Exploration,0,Circular,N,,,,,
2021/08/23,42,Exploration,1,Circular,N,,,,,
2021/08/24,1,Exploration,1,Circular,N,,,,,
#####2021/08/25,1,Exploration,1,Circular,N,,Problem with the ttl tracking,,,
2021/08/26,1,Exploration,1,Circular,N,,,,,
##2021/08/27,1,Exploration,1,Circular,N,,Find the data,,,
2021/08/30,3,Exploration,2,Square,N,,,,,
##2021/08/31,1,Exploration,2,Square,N,,Problem with recording,,,
2021/09/01,1,Exploration,2,Square,N,,,,,
2021/09/02,1,Exploration,2,Square,N,,,,,
2021/09/03,1,Exploration,2,Square,N,,,,,
2021/09/06,3,Exploration,3,Open field,N,,,,,
2021/09/07,1,Exploration,3,Open field,N,,,,,
2021/09/08,1,Exploration,3,Open field,N,,,,,
2021/09/09,1,Exploration,3,Open field,N,,,,,
2021/09/10,1,Exploration,3,Open field,N,,,,,
2021/09/13,3,Exploration,4,8-arm maze,N,,Problem with the ttl tracking,,,
2021/09/14,1,Exploration,4,8-arm maze,N,,Problem with the ttl tracking,,,
2021/09/15,1,Exploration,4,8-arm maze,N,,Problem with the ttl tracking,,,
2021/09/16,1,Exploration,4,8-arm maze,N,,Problem with the ttl tracking,,,
2021/09/17,1,Exploration,4,8-arm maze,N,,Problem with the ttl tracking,,,
2021/09/20,3,Exploration,1,Circular,N,,,,,
2021/09/21,1,Exploration,1,Circular,N,,,,,
2021/09/22,1,Exploration,1,Circular,N,,,,,
2021/09/23,1,Exploration,1,Circular,N,,,,,
,#NUM!,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
,0,,,,,,,,,
