Mouse ID,A0634,,,,,,,,,
Nickname,Steven,,,,,,,,,
Date implanted,10/Nov/2020,,,,,,,,,
Structure,PSB,,,,,,,,,
,,,,,,,,,,
Recording day,Days from previous recording,Type of recording (Expl/Slp),Rigid Body,Rig,Processed? (Y/N),# of Cells,Issues/Comments,,,Path
2021/01/18,3,Exploration,2,Circular,Y,142,,,,
2021/01/19,1,Exploration,2,Circular,Y,136,,,,
2021/01/20,1,Exploration,2,Circular,Y,143,,,,
2021/01/21,1,Exploration,2,Circular,Y,126,,,,
2021/01/22,1,Exploration,2,Circular,Y,131,,,,
2021/01/23,1,Exploration,2,Circular,Y,140,,,,
2021/01/24,1,Exploration,2,Circular,Y,136,,,,
2021/01/25,1,Exploration,2,Circular,Y,127,,,,
2021/01/26,1,Exploration,2,Circular,Y,127,,,,
2021/01/27,1,Exploration,2,Circular,Y,131,,,,
2021/01/28,1,Exploration,2,Circular,Y,130,,,,
2021/01/29,1,Exploration,2,Circular,Y,143,,,,
2021/01/30,1,Exploration,2,Circular,Y,115,,,,
#2021/01/31,1,Exploration,2,Circular,N,,Crashed,,,
#2021/02/01,1,Exploration,2,Circular,N,,Crashed,,,
#2021/02/02,1,Exploration,2,Circular,N,,Crashed,,,
#2021/02/03,1,Exploration,2,Circular,N,,Crashed,,,
